"Error codes of the ""Receive configuration""",16#81C5,"Invalid value for ""Size of length field""","Select a suitable value for ""Size of length field"" (LENGTHSIZE).
Valid range of values in bytes:
1 (1)
2 (2)
4 (4)"
"Error codes of the ""Receive configuration""",16#81C6,"Invalid value for ""Number of characters not counted in length specification""","Select a suitable value for ""Number of characters not counted in length specification"" (LENGTHM).
Valid range of values: 0 to 255 (bytes)"
"Error codes of the ""Receive configuration""",16#81C7,"The total of ""Offset in the message + size of length field + number of characters not counted"" is greater than the maximum frame length","Select a suitable value for ""Offset in message"", ""Size of length field"" and ""Number of characters not counted"".
Valid range of values:
Offset in the message (depending on the module):
0-1024/2048/4096 (bytes)
Size of length field: 1, 2, or 4 (bytes)
Number of characters not counted: 0 to 255 (bytes)"
"Error codes of the ""Receive configuration""",16#81C8,"Invalid value for ""Response timeout""","Select a suitable value for ""Response timeout"".
Valid range of values: 1-65535 (ms)"
"Error codes of the ""Receive configuration""",16#81C9,"Invalid value for ""Character delay time""","Select a suitable value for ""Character delay time"".
Valid range of values: 1 to 65535 (bit times)"
"Error codes of the ""Receive configuration""",16#81CB,"frame end sequence is activated, but no character is activated for the check",Activate one or several characters for the check.
"Error codes of the ""Receive configuration""",16#81CC,"frame start sequence is activated, but no character is activated for the check",Activate one or several characters for the check.
"Error codes of the ""Receive configuration""",16#81CD,"Invalid value for ""Prevent overwriting""","Select a suitable value for ""Prevent overwriting"".
The following are valid:
Prevent overwriting is deactivated (0) or
Prevent overwriting is activated (1)"
"Error codes of the ""Receive configuration""",16#81CE,"Invalid value for ""Clear receive buffer on startup""","Select a suitable value for ""Clear receive buffer on startup"".
The following are valid:
Clear receive buffer at startup is deactivated (0)
Clear receive buffer at startup is activated (1)"
SEND status and error codes,16#81D0,Receiving send request during runtime of a send command,Make sure that you do not receive an additional send request during runtime of a send command.
SEND status and error codes,16#81D1,The waiting time for XON or CTS = ON has expired.,"The communication partner has a fault, is too slow or is offline. Check the communication partner or change the parameters, if necessary."
SEND status and error codes,16#81D2,"""Hardware RTS always ON"": Send job canceled due to change from DSR = ON to OFF",Check the communication partner. Make sure that DSR is ON for the entire duration of transmission.
SEND status and error codes,16#81D3,Send buffer overflow / send frame too long,"Select a shorter frame length.
The following are valid (depending on the module): 1 to 1024/2048/4096 (bytes)"
SEND status and error codes,16#81D5,"Transmission canceled due to parameter changes, detected wire break, or CPU in STOP","Check the parameter assignment, wire break, and CPU status."
SEND status and error codes,16#81D6,Transmission canceled because end identifier was not received,Check the parameter assignment of the end characters and the frame of the communication partner.
SEND status and error codes,16#81D7,Communication error between the user program and module,"Check the communication (e.g., matching the sequence number)."
SEND status and error codes,16#81D8,Transmission attempt rejected because module is not configured,Configure the module.
Error codes of the receive configuration,16#81E0,Frame aborted: Send buffer overflow / send frame too long,Increase the call rate for the receive function in the user program or configure communication with data flow control.
Error codes of the receive configuration,16#81E1,Frame aborted: Parity error,"Check the connection line of the communication partners, or verify that the same data transmission rate, parity and stop bit number are configured for both devices."
Error codes of the receive configuration,16#81E2,Frame aborted: Character frame error,"Check the settings for start bit, data bits, parity bit, data transmission rate, and stop bit(s)."
Error codes of the receive configuration,16#81E3,Frame aborted: Character overflow error,Firmware error: Please contact Customer Support.
Error codes of the receive configuration,16#81E4,"Frame aborted: The total length of ""Offset in the message + size of the length field + number of characters not counted"" is greater than the receive buffer","Select a suitable value for offset in message, size of the length field, and number of characters not counted."
Error codes of the receive configuration,16#81E5,Frame aborted: Break,"Receive line to partner is interrupted.
Reconnect or switch on partner."
Error codes of the receive configuration,16#81E6,"Maximum number of ""Buffered received frames"" exceeded",In the user program call the instruction more often or configure a communication with data flow control or increase the number of buffered frames.
Error codes of the receive configuration,16#81E7,Synchronization error module and Receive_P2P,Make sure that different instances of the Receive_P2P do not access the same module.
Error codes of the receive configuration,16#81E8,Frame aborted: The character delay time has expired before the message end criterion was detected,"Partner device faulty or too slow. Check this, if required, using an interface tester that is interconnected in the transmission line."
Error codes of the receive configuration,16#81E9,Modbus CRC error (only communication modules which support Modbus),Checksum error of the Modbus frame. Check the communication partner.
Error codes of the receive configuration,16#81EA,Modbus frame too short (only communication modules which support Modbus),Minimum length of Modbus frame not met. Check the communication partner.
Error codes of the receive configuration,16#81EB,Frame aborted: Maximum frame length reached,"Select a shorter frame length at the communication partner.
The following are valid (depending on the module): 1-1024/2048/4096 (bytes)
Check the parameters for end of frame detection."
Error codes V24 accompanying signals,16#81F0,The module does not support V24 accompanying signals,You have tried to set accompanying signals for a module that does not support V24 accompanying signals. Make sure that this is an RS232 module or that RS232 mode (ET 200SP) is set.
Error codes V24 accompanying signals,16#81F1,No operation of the V24 accompanying signals,The V24 accompanying signals cannot be operated manually if hardware data flow control is active.
Error codes V24 accompanying signals,16#81F2,The DSR signal cannot be set because the module has the type DTE.,"Check the configured type of the module.
The module type must be DCE (data communication equipment)."
Error codes V24 accompanying signals,16#81F3,The DTR signal cannot be set because the module has the type DCE.,"Check the configured type of the module.
The module type must be DTE (data terminal equipment)."
Error codes V24 accompanying signals,16#81F4,Block header error (e.g. incorrect block type or incorrect block length),Check the instance DB and the block header.
Error codes of the receive configuration,16#8201 1),Receive_Conditions is a pointer to an invalid data type,"Enter a pointer to one of the following data types:
DB, BOOL, BYTE, CHAR, WORD, INT, DWORD, DINT, REAL, DATE, TIME_OF_DAY, TIME, S5TIME, DATE_AND_TIME, STRING"
Error codes of the receive configuration,16#8225,"Receive_Conditionspoints to an optimized memory area greater than 1 kB
or
Receive_Conditions points to an optimized memory area and the receive length is greater than the area addressed by Receive_Conditions.","Enter a pointer to an area with a maximum length of:
Optimized memory area: 1 KB
Non-optimized memory area: 4 KB
Note: If the pointer points to an optimized memory area, do not send more than 1 KB."
Error codes of the receive configuration,16#8229 1),Receive_Conditions is a pointer to BOOL with a number of bits not equal to n * 8,"If you are using a pointer to BOOL, the number of bits must be a multiple of 8."
"Error codes, general",16#8280,Negative acknowledgment when reading module,"You can find more detailed information on error causes in theRDREC.STATUS static parameters and in the description of the SFB RDREC.
Check the input at the PORT parameter
Set the COM_RST parameter prior to the initial call."
"Error codes, general",16#8281,Negative acknowledgment when writing module,"Check the input at the PORT parameter
You can find more detailed information on error causes in the WRREC.STATUS static parameters and in the description of the SFB WRREC."
"Error codes, general",16#8282,Module not available,Check the input at the PORT parameter and ensure that the module can be reached.
Error codes of the receive configuration,16#82C1,"Invalid value for ""Buffered received frames"".","Select a suitable value for ""Buffered received frames"".
Valid range of values: 1-255"
Error codes of the receive configuration,16#82C2,Receive configuration rejected because the 3964(R) protocol was selected,Make sure that no receive configuration is sent if the 3964(R) protocol is set.
Error codes of the receive configuration,16#8301 1),Receive_Conditions is a pointer to an invalid data type,"Select a valid data type.
The following are valid: DB, BOOL, BYTE, CHAR, WORD, INT, DWORD, DINT, REAL, DATE, TIME_OF_DAY, TIME, S5TIME, DATE_AND_TIME, STRING"
Error codes of the receive configuration,16#8322,Range length error when reading a parameter,Check the input at the Receive_Conditions parameter
Error codes of the receive configuration,16#8324,Range error when reading a parameter,Check the input at the Receive_Conditions parameter
Error codes of the receive configuration,16#8328,Setting error when reading a parameter,Check the input at the Receive_Conditions parameter
SEND status and error codes,16#8328 1),BUFFER is a pointer to BOOL with a number of bits not equal to n * 8,"If you are using a pointer to BOOL, the number of bits must be a multiple of 8."
Error codes of the receive configuration,16#8332,Invalid data block at the Receive_Conditions parameter,Check the input at the Receive_Conditions parameter
Error codes of the receive configuration,16#833A,The designation of the data block at the Receive_Conditions parameter refers to a data block which is not loaded.,Check the input at the Receive_Conditions parameter
Error codes of the receive configuration,16#8351,Invalid data type,Check the input at the Receive_Conditions parameter
Error codes of the receive configuration,16#8352 1),Receive_Conditions does not point to a data block,Check the pointer to Receive_Conditions
Error codes of the receive configuration,16#8353 1),Receive_Conditions does not point to a structure of the typeReceive_Conditions,Check the pointer to Receive_Conditions
Error codes 3964(R) protocol,16#8380,"Parameter assignment error: Invalid value for ""Character delay time"".","Select a suitable value for ""Character delay time"" (CharacterDelayTime).
Valid range of values: 1 to 65535 (ms)"
Error codes 3964(R) protocol,16#8381,"Parameter assignment error: Invalid value for ""Response timeout"".","Select a suitable value for ""Response timeout"" (AcknDelayTime).
Valid range of values: 1 to 65535 (ms)"
Error codes 3964(R) protocol,16#8382,"Parameter assignment error: Invalid value for ""Priority"".","Select a suitable value for ""Priority"" (Priority).
The following are valid:
High (1)
Low (0)"
Error codes 3964(R) protocol,16#8383,"Parameter assignment error: Invalid value for ""Block check""","Select a suitable value for ""Block check"" (BCC).
The following are valid:
With block check (1)
Without block check (0)"
Error codes 3964(R) protocol,16#8384,"Parameter assignment error: Invalid value for ""Connection attempts"".","Select a suitable value for ""Connection attempts"" (BuildupAttempts).
Valid range of values: 1-255"
Error codes 3964(R) protocol,16#8385,"Parameter assignment error: Invalid value for ""Transmission attempts"".","Select a suitable value for ""Transmission attempts"" (RepetitionAttempts).
Valid range of values: 1-255"
Error codes 3964(R) protocol,16#8386,Runtime error: Number of connection attempts exceeded,"Check the interface cable and the transmission parameters.
Also check whether the receive function is configured correctly at the partner device."
Error codes 3964(R) protocol,16#8387,Runtime error: Number of transmission attempts exceeded,"Check the interface cable, the transmission parameters and the configuration of the communication partner."
Error codes 3964(R) protocol,16#8388,"Runtime error: Error at the ""Block check character""
The internally calculated value of the block check character does not correspond to the block check character received by the partner at the connection end.","Check whether the connection is seriously disrupted; in this case you may also occasionally see error codes. Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line."
Error codes 3964(R) protocol,16#8389,Runtime error: Invalid character received while waiting for free receive buffer,"The send request of the communication partner (STX, 02H) is only answered with DLE when the receive buffer is empty. No additional character may be received before (except STX again).
Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line."
Error codes 3964(R) protocol,16#838A,"Runtime error: Logical error during receiving.
After DLE was received, a further random character (other than DLE or ETX) was received.","Check if partner DLE in frame header and in data string is always in duplicate or the connection is released with DLE ETX. Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line."
Error codes 3964(R) protocol,16#838B,Runtime error: Character delay time exceeded,"Partner device too slow or faulty.
Verify by using an interface test device that is switched into the transmission line, if necessary."
Error codes 3964(R) protocol,16#838C,Runtime error: Wait time for free receive buffer has started,In the user program call the instruction more often or configure a communication with data flow control.
Error codes 3964(R) protocol,16#838D,Runtime error: frame repetition does not start within 4 s after NAK,Check the communication partner. A received frame that is possibly corrupted must be repeated by the partner within 4 seconds.
Error codes 3964(R) protocol,16#838E,"Runtime error: In idle mode, one or several characters (other than NAK or STX) were received.","Check for proper function of the partner device, possibly using an interface test device that is switched into the transmission line."
Error codes 3964(R) protocol,16#838F,Runtime error: Initialization conflict - Both partners have set high priority,"Set the ""Low"" priority at one of the partners"
Error codes 3964(R) protocol,16#8391,Parameter assignment error: 3964 configuration data rejected because Freeport is set,"If the Freeport protocol is set, make sure that no 3964 parameter assignment data is sent."
